borough,dev_name,source,map_file,table_file,arts_count
BROOKLYN,FIORENTINO PLAZA,PACT,PACT_FIORENTINO_PLAZA_map.html,PACT_FIORENTINO_PLAZA_table.html,1
BRONX,FORT INDEPENDENCE STREET-HEATH AVENUE,PACT,PACT_FORT_INDEPENDENCE_STREET-HEATH_AVENUE_map.html,PACT_FORT_INDEPENDENCE_STREET-HEATH_AVENUE_table.html,1
MANHATTAN,FORT WASHINGTON AVENUE REHAB,PACT,PACT_FORT_WASHINGTON_AVENUE_REHAB_map.html,PACT_FORT_WASHINGTON_AVENUE_REHAB_table.html,5
BRONX,FRANKLIN AVENUE I CONVENTIONAL,PACT,PACT_FRANKLIN_AVENUE_I_CONVENTIONAL_map.html,PACT_FRANKLIN_AVENUE_I_CONVENTIONAL_table.html,1
BRONX,FRANKLIN AVENUE II CONVENTIONAL,PACT,PACT_FRANKLIN_AVENUE_II_CONVENTIONAL_map.html,,0
BRONX,FRANKLIN AVENUE III CONVENTIONAL,PACT,PACT_FRANKLIN_AVENUE_III_CONVENTIONAL_map.html,,0
MANHATTAN,GRAMPION,PACT,PACT_GRAMPION_map.html,PACT_GRAMPION_table.html,25
MANHATTAN,HARLEM RIVER,PACT,PACT_HARLEM_RIVER_map.html,PACT_HARLEM_RIVER_table.html,3
MANHATTAN,HARLEM RIVER II,PACT,PACT_HARLEM_RIVER_II_map.html,PACT_HARLEM_RIVER_II_table.html,5
BRONX,HARRISON AVENUE REHAB (GROUP A),PACT,PACT_HARRISON_AVENUE_REHAB_(GROUP_A)_map.html,PACT_HARRISON_AVENUE_REHAB_(GROUP_A)_table.html,4
BRONX,HARRISON AVENUE REHAB (GROUP B),PACT,PACT_HARRISON_AVENUE_REHAB_(GROUP_B)_map.html,PACT_HARRISON_AVENUE_REHAB_(GROUP_B)_table.html,4
BRONX,HIGHBRIDGE REHABS (ANDERSON AVENUE),PACT,PACT_HIGHBRIDGE_REHABS_(ANDERSON_AVENUE)_map.html,PACT_HIGHBRIDGE_REHABS_(ANDERSON_AVENUE)_table.html,1
BRONX,HIGHBRIDGE REHABS (NELSON AVENUE),PACT,PACT_HIGHBRIDGE_REHABS_(NELSON_AVENUE)_map.html,PACT_HIGHBRIDGE_REHABS_(NELSON_AVENUE)_table.html,2
BROOKLYN,HOPE GARDENS,PACT,PACT_HOPE_GARDENS_map.html,PACT_HOPE_GARDENS_table.html,1
BROOKLYN,HOWARD AVENUE,PACT,PACT_HOWARD_AVENUE_map.html,,0
BROOKLYN,HOWARD AVENUE-PARK PLACE,PACT,PACT_HOWARD_AVENUE-PARK_PLACE_map.html,PACT_HOWARD_AVENUE-PARK_PLACE_table.html,4
BROOKLYN,INDEPENDENCE,PACT,PACT_INDEPENDENCE_map.html,PACT_INDEPENDENCE_table.html,5
BROOKLYN,LENOX ROAD-ROCKAWAY PARKWAY,PACT,PACT_LENOX_ROAD-ROCKAWAY_PARKWAY_map.html,,0
BROOKLYN,LINDEN,PACT,PACT_LINDEN_map.html,PACT_LINDEN_table.html,1
MANHATTAN,MANHATTANVILLE,PACT,PACT_MANHATTANVILLE_map.html,PACT_MANHATTANVILLE_table.html,19
MANHATTAN,MANHATTANVILLE REHAB (GROUP 2),PACT,PACT_MANHATTANVILLE_REHAB_(GROUP_2)_map.html,PACT_MANHATTANVILLE_REHAB_(GROUP_2)_table.html,12
